id,libelle,created_at,updated_at,deleted_at,type_demande_id,is_particulier
88,Visa,2022-11-28 12:15:51,2023-02-23 12:11:32,NULL,24,1
89,Casier judiciaire (de moins de trois mois),2023-02-09 10:24:34,2023-04-24 09:08:40,NULL,24,1
90,CNI (Pour les nationaux) / Passeport (Pour les étrangers),2022-11-28 12:15:51,2023-03-31 10:05:32,NULL,25,1
91,Acte de naissance,2022-11-28 12:15:51,2023-02-23 12:11:32,NULL,25,1
92,Photo,2022-11-28 12:15:51,2023-02-23 12:11:32,NULL,25,1
93,Visa,2022-11-28 12:15:51,2023-02-23 12:11:32,NULL,25,1
94,Casier judiciaire (de moins de trois mois),2023-02-09 10:24:34,2023-04-24 09:08:40,NULL,25,1
95,CNI (Pour les nationaux) / Passeport (Pour les étrangers),2022-11-28 12:15:51,2023-03-31 10:05:32,NULL,29,1
96,Acte de naissance,2022-11-28 12:15:51,2023-02-23 12:11:32,NULL,29,1
97,Photo,2022-11-28 12:15:51,2023-02-23 12:11:32,NULL,29,1
98,Visa,2022-11-28 12:15:51,2023-02-23 12:11:32,NULL,29,1
99,Casier judiciaire (de moins de trois mois),2023-02-09 10:24:34,2023-04-24 09:08:40,NULL,29,1
100,CNI (Pour les nationaux) / Passeport (Pour les étrangers),2022-11-28 12:15:51,2023-03-31 10:05:32,NULL,30,1
101,Acte de naissance,2022-11-28 12:15:51,2023-02-23 12:11:32,NULL,30,1
102,Photo,2022-11-28 12:15:51,2023-02-23 12:11:32,NULL,30,1
103,Visa,2022-11-28 12:15:51,2023-02-23 12:11:32,NULL,30,1
104,Casier judiciaire (de moins de trois mois),2023-02-09 10:24:34,2023-04-24 09:08:39,NULL,30,1
105,CNI (Pour les nationaux) / Passeport (Pour les étrangers),2022-11-28 12:15:51,2023-03-31 10:05:32,NULL,31,1
106,Acte de naissance,2022-11-28 12:15:51,2023-02-23 12:11:32,NULL,31,1
107,Photo,2022-11-28 12:15:51,2023-02-23 12:11:32,NULL,31,1
108,Visa,2022-11-28 12:15:51,2023-02-23 12:11:32,NULL,31,1
109,Casier judiciaire (de moins de trois mois),2023-02-09 10:24:34,2023-04-24 09:08:39,NULL,31,1
110,Carte Nationale (Marocain) /Passeport (Etranger),2022-11-28 12:15:51,2023-03-28 17:11:43,NULL,32,1
111,"Certificat de société / Contrat de Bail (du Siège social, uniquement si vous n’avez pas opter pour la domiciliation à Legafrik)",2023-02-09 10:24:34,2023-03-28 17:15:05,NULL,32,1
112,CNI (Pour les nationaux) / Passeport (Pour les étrangers),2022-11-28 12:15:51,2023-03-31 10:05:33,NULL,33,1
113,Certificat de propriété / Contrat de Bail,2023-02-09 10:24:34,2023-02-23 12:11:32,NULL,33,1
114,Carte Nationale (Marocain) /Passeport (Etranger),2022-11-28 12:15:51,2023-03-28 17:12:02,NULL,34,1
115,"Certificat de société / Contrat de Bail (du Siège social, uniquement si vous n’avez pas opter pour la domiciliation à Legafrik)",2023-02-09 10:24:34,2023-03-28 17:15:16,NULL,34,1
116,Carte Nationale (Marocain) /Passeport (Etranger),2022-11-28 12:15:51,2023-03-28 17:12:09,NULL,35,1
117,"Certificat de société / Contrat de Bail (du Siège social, uniquement si vous n’avez pas opter pour la domiciliation à Legafrik)",2023-02-09 10:24:34,2023-03-28 17:15:23,NULL,35,1
118,CNI (Pour les nationaux) / Passeport (Pour les étrangers),2022-11-28 12:15:51,2023-03-31 10:05:33,NULL,36,1
119,Certificat de propriété / Contrat de Bail,2023-02-09 10:24:34,2023-02-23 12:11:32,NULL,36,1
120,CNI (Pour les nationaux) / Passeport (Pour les étrangers),2022-11-28 12:15:51,2023-03-31 10:05:33,NULL,37,1
121,Certificat de propriété / Contrat de Bail,2023-02-09 10:24:34,2023-02-23 12:11:32,NULL,37,1
122,CNI (Pour les nationaux) / Passeport (Pour les étrangers),2022-11-28 12:15:51,2023-03-31 10:05:33,NULL,38,1
123,Certificat de propriété / Contrat de Bail,2023-02-09 10:24:34,2023-02-23 12:11:32,NULL,38,1
124,"Pièce d'identité  (Passeport pour les étranger)",2022-11-28 12:15:51,2023-02-23 12:11:32,NULL,39,1
125,Casier judiciaire (de moins de trois mois),2023-02-09 10:24:34,2023-04-24 09:08:39,NULL,39,1
126,"Pièce d'identité  (Passeport pour les étranger)",2022-11-28 12:15:51,2023-02-23 12:11:32,NULL,40,1
127,Casier judiciaire (de moins de trois mois),2023-02-09 10:24:34,2023-04-24 09:08:39,NULL,40,1
147,RCCM,2022-11-22 17:36:16,2023-02-23 11:51:48,NULL,1,0
148,Statut de la personne morale,2023-02-01 12:05:49,2023-02-23 11:52:30,NULL,1,0
149,Le PV de l’AG (autorisant la à participer à la création d’une société),2023-02-10 14:42:35,2023-02-23 11:52:44,NULL,1,0
150,RCCM,2022-11-22 17:36:16,2023-02-23 11:51:48,NULL,2,0
151,Statut de la personne morale,2023-02-01 12:05:49,2023-02-23 11:52:30,NULL,2,0
152,Le PV de l’AG (autorisant la à participer à la création d’une société),2023-02-10 14:42:35,2023-02-23 11:52:44,NULL,2,0
153,RCCM,2022-11-22 17:36:16,2023-02-23 11:51:48,NULL,9,0
154,Statut de la personne morale,2023-02-01 12:05:49,2023-02-23 11:52:30,NULL,9,0
155,Le PV de l’AG (autorisant la à participer à la création d’une société),2023-02-10 14:42:35,2023-02-23 11:52:44,NULL,9,0
156,RCCM,2022-11-22 17:36:16,2023-02-23 11:51:48,NULL,16,0
157,Statut de la personne morale,2023-02-01 12:05:49,2023-02-23 11:52:30,NULL,16,0
158,Le PV de l’AG (autorisant la à participer à la création d’une société),2023-02-10 14:42:35,2023-02-23 11:52:44,NULL,16,0
159,RCCM,2022-11-22 17:36:16,2023-02-23 11:51:48,NULL,17,0
160,Statut de la personne morale,2023-02-01 12:05:49,2023-02-23 11:52:30,NULL,17,0
161,Le PV de l’AG (autorisant la à participer à la création d’une société),2023-02-10 14:42:35,2023-02-23 11:52:44,NULL,17,0
162,RCCM,2022-11-22 17:36:16,2023-02-23 11:51:48,NULL,18,0
163,Statut de la personne morale,2023-02-01 12:05:49,2023-02-23 11:52:30,NULL,18,0
164,Le PV de l’AG (autorisant la à participer à la création d’une société),2023-02-10 14:42:35,2023-02-23 11:52:44,NULL,18,0
165,RCCM,2022-11-22 17:36:16,2023-02-23 11:51:48,NULL,19,0
166,Statut de la personne morale,2023-02-01 12:05:49,2023-02-23 11:52:30,NULL,19,0
167,Le PV de l’AG (autorisant la à participer à la création d’une société),2023-02-10 14:42:35,2023-02-23 11:52:44,NULL,19,0
168,RCCM,2022-11-22 17:36:16,2023-02-23 11:51:48,NULL,20,0
169,Statut de la personne morale,2023-02-01 12:05:49,2023-02-23 11:52:30,NULL,20,0
170,Le PV de l’AG (autorisant la à participer à la création d’une société),2023-02-10 14:42:35,2023-02-23 11:52:44,NULL,20,0
171,RCCM,2022-11-22 17:36:16,2023-02-23 11:51:48,NULL,21,0
172,Statut de la personne morale,2023-02-01 12:05:49,2023-02-23 11:52:30,NULL,21,0
173,Le PV de l’AG (autorisant la à participer à la création d’une société),2023-02-10 14:42:35,2023-02-23 11:52:44,NULL,21,0
174,RCCM,2022-11-22 17:36:16,2023-02-23 11:51:48,NULL,22,0
175,Statut de la personne morale,2023-02-01 12:05:49,2023-02-23 11:52:30,NULL,22,0
176,Le PV de l’AG (autorisant la à participer à la création d’une société),2023-02-10 14:42:35,2023-02-23 11:52:44,NULL,22,0
177,RCCM,2022-11-22 17:36:16,2023-02-23 11:51:48,NULL,23,0
178,Statut de la personne morale,2023-02-01 12:05:49,2023-02-23 11:52:30,NULL,23,0
179,Le PV de l’AG (autorisant la à participer à la création d’une société),2023-02-10 14:42:35,2023-02-23 11:52:44,NULL,23,0
180,RCCM,2022-11-22 17:36:16,2023-02-23 11:51:48,NULL,24,0
181,Statut de la personne morale,2023-02-01 12:05:49,2023-02-23 11:52:30,NULL,24,0
182,Le PV de l’AG (autorisant la à participer à la création d’une société),2023-02-10 14:42:35,2023-02-23 11:52:44,NULL,24,0
183,RCCM,2022-11-22 17:36:16,2023-02-23 11:51:48,NULL,25,0
184,Statut de la personne morale,2023-02-01 12:05:49,2023-02-23 11:52:30,NULL,25,0
185,Le PV de l’AG (autorisant la à participer à la création d’une société),2023-02-10 14:42:35,2023-02-23 11:52:44,NULL,25,0
186,RCCM,2022-11-22 17:36:16,2023-02-23 11:51:48,NULL,32,0
187,Statut de la personne morale,2023-02-01 12:05:49,2023-02-23 11:52:30,NULL,32,0
188,Le PV de l’AG (autorisant la à participer à la création d’une société),2023-02-10 14:42:35,2023-02-23 11:52:44,NULL,32,0
189,RCCM,2022-11-22 17:36:16,2023-02-23 11:51:48,NULL,33,0
190,Statut de la personne morale,2023-02-01 12:05:49,2023-02-23 11:52:30,NULL,33,0
191,Le PV de l’AG (autorisant la à participer à la création d’une société),2023-02-10 14:42:35,2023-02-23 11:52:44,NULL,33,0
192,RCCM,2022-11-22 17:36:16,2023-02-23 11:51:48,NULL,34,0
193,Statut de la personne morale,2023-02-01 12:05:49,2023-02-23 11:52:30,NULL,34,0
194,Le PV de l’AG (autorisant la à participer à la création d’une société),2023-02-10 14:42:35,2023-02-23 11:52:44,NULL,34,0
195,RCCM,2022-11-22 17:36:16,2023-02-23 11:51:48,NULL,35,0
196,Statut de la personne morale,2023-02-01 12:05:49,2023-02-23 11:52:30,NULL,35,0
197,Le PV de l’AG (autorisant la à participer à la création d’une société),2023-02-10 14:42:35,2023-02-23 11:52:44,NULL,35,0
198,RCCM,2022-11-22 17:36:16,2023-02-23 11:51:48,NULL,39,0
199,Statut de la personne morale,2023-02-01 12:05:49,2023-02-23 11:52:30,NULL,39,0
200,Le PV de l’AG (autorisant la à participer à la création d’une société),2023-02-10 14:42:35,2023-02-23 11:52:44,NULL,39,0
201,RCCM,2022-11-22 17:36:16,2023-02-23 11:51:48,NULL,40,0
202,Statut de la personne morale,2023-02-01 12:05:49,2023-02-23 11:52:30,NULL,40,0
203,Le PV de l’AG (autorisant la à participer à la création d’une société),2023-02-10 14:42:35,2023-02-23 11:52:44,NULL,40,0
